time,open,high,low,close,Volume
1661952600,24.827,25.15,22.271,23.156,9373990
1662039000,22.001,22.855,21.329,22.092,5680610
1662125400,22.61,22.775,21.565,21.806,4238420
1662471000,21.853,22.0,20.29,20.425,8006570
1662557400,20.399,22.188,20.378,21.861,5632010
1662643800,21.447,23.47,21.173,23.45,5286330
1662730200,24.941,26.221,24.514,26.197,9160690
1662989400,26.321,26.799,25.012,26.298,8997670
1663075800,24.185,24.6345,22.952,23.125,8110920
1663162200,23.01,23.125,22.135,22.599,5403340
1663248600,22.29,23.67,21.605,21.694,8431640
1663335000,21.152,21.505,20.322,20.634,9950880
1663594200,19.9265,20.709,19.632,20.62,8183900
1663680600,20.0,20.15,19.342,19.66,7614990
1663767000,19.831,20.833,19.404,19.592,6620970
1663853400,19.689,19.84299,18.623,19.232,7609670
1663939800,18.87,19.192,18.349,19.145,5995340
1664199000,19.182,20.55,19.15,20.018,5853850
1664285400,21.284,21.922,20.1,20.607,6753890
1664371800,20.76,22.186,20.75,22.047,4655660
1664458200,21.425,21.631,20.555,21.182,3966690
1664544600,20.851,22.604,20.711,21.226,4007630
1664803800,21.39,22.842,21.214,22.452,4334900
1664890200,23.584,24.912,23.5,24.874,6507140
1664976600,24.094,24.575,23.244,24.219,5250630
1665063000,24.219,24.91662,23.62501,24.167,2701920
1665149400,23.4,23.6,21.766,22.03,3725930
1665408600,21.962,23.186,21.526,22.065,3709440
1665495000,22.121,22.72639,21.2205,21.637,3473030
1665581400,21.818,21.887,20.551,21.838,2681690
1665667800,20.148,22.3,19.8125,22.054,5923480
1665754200,22.334,22.879,20.743,20.931,3895220
1666013400,22.0,22.627,21.881,22.113,3344100
1666099800,23.02,23.531,21.964,23.5,6103150
1666186200,22.808,23.449,22.3959,22.608,2713050
1666272600,22.823,23.489,21.922,22.101,2675500
1666359000,21.855,23.443,21.649,23.262,3625540
1666618200,23.3,24.49399,22.636,23.76,3514400
1666704600,24.0,27.0,24.0,26.869,6402420
1666791000,26.955,29.0,26.688,27.272,6663070
1666877400,27.673,27.9,26.50001,27.056,2472870
1666963800,26.919,28.093,26.461,27.999,4324970
1667223000,27.89,28.38799,26.045,26.751,3519890
1667309400,27.595,27.84477,25.719,25.72,3113150
1667395800,25.889,27.879,24.551,24.823,6426660
1667482200,24.201,26.14,24.136,24.844,2618190
1667568600,26.112,27.735,25.06333,27.71,6713380
1667831400,27.141,27.38,26.0,26.664,3760250
1667917800,24.8,26.664,19.351,21.184,31238360
1668004200,19.5,20.906,16.85,17.036,27418980
1668090600,18.9,19.83799,17.2925,17.5,19091970
1668177000,16.252,17.81009,15.53,17.518,16441340
1668436200,17.131,17.91,16.435,16.59,7970120
1668522600,17.4,17.747,16.513,17.153,7028020
1668609000,16.353,17.048,16.0,16.944,6818890
1668695400,16.565,17.54997,16.21301,17.388,5065630
1668781800,17.7,17.71475,16.213,17.012,8229710
1669041000,16.5,17.06542,15.23404,15.722,9076520
1669127400,16.0,16.8,15.556,16.708,5856080
1669213800,16.845,17.672,16.621,17.639,4802050
1669386600,17.203,18.3,17.202,18.3,2634160
1669645800,17.872,18.143,16.916,17.667,6600890
